"EventID","layer","QID","r [cm]","phi [rad]","z [cm]","E[GeV]","px[GeV]","py[GeV]","pz[GeV]"
14,4,1,12.25,0.9220408163265306,-52.56,1212.25,151.59,199.98,-1075.45
14,5,2,29.9,-2.0729765886287623,-322.72,2706.15,-118.33,-215.23,-2648.19
14,5,1,29.9,0.9217525083612039,-128.44,1212.25,151.59,199.98,-1075.45
14,6,2,37.1,-2.072900269541779,-400.52,2706.15,-118.33,-215.23,-2648.19
14,6,1,37.1,0.9215741239892182,-159.48,1212.25,151.59,199.98,-1075.45
14,7,2,44.3,-2.0727720090293453,-478.36,2706.15,-118.33,-215.23,-2648.19
14,7,1,44.3,0.9215304740406319,-190.56,1212.25,151.59,199.98,-1075.45
14,8,2,51.4,-2.072677042801556,-555.16,2706.15,-118.33,-215.23,-2648.19
14,8,1,51.4,0.9213735408560311,-221.20000000000002,1212.25,151.59,199.98,-1075.45
15,1,2,3.1,-1.7451612903225806,0.24,649.19,-71.84,-406.59,31.16
15,1,1,3.1,1.617741935483871,0.44,676.13,-20.8,449.8,66.33
15,2,2,5.05,-1.7455445544554455,0.4,649.19,-71.84,-406.59,31.16
15,2,1,5.05,1.616831683168317,0.76,676.13,-20.8,449.8,66.33
15,3,2,8.85,-1.7457627118644068,0.68,649.19,-71.84,-406.59,31.16
15,3,1,8.85,1.616949152542373,1.32,676.13,-20.8,449.8,66.33
15,4,2,12.25,-1.7457142857142856,0.92,649.19,-71.84,-406.59,31.16
15,4,1,12.25,1.617142857142857,1.8,676.13,-20.8,449.8,66.33
15,5,2,29.9,-1.7454849498327758,2.24,649.19,-71.84,-406.59,31.16
15,5,1,29.9,1.6168762541806019,4.4,676.13,-20.8,449.8,66.33
15,6,2,37.1,-1.7455471698113205,2.8000000000000003,649.19,-71.84,-406.59,31.16
15,6,1,37.1,1.6168787061994607,5.48,676.13,-20.8,449.8,66.33
15,7,2,44.3,-1.745435665914221,3.36,649.19,-71.84,-406.59,31.16
15,7,1,44.3,1.6168036117381488,6.5200000000000005,676.13,-20.8,449.8,66.33
15,8,2,51.4,-1.7454435797665369,3.88,649.19,-71.84,-406.59,31.16
15,8,1,51.4,1.6167859922178986,7.5600000000000005,676.13,-20.8,449.8,66.33
