PID,E,px,py,pz
321.,4.007,0.083,3.35,-2.14
321.,4.007,0.083,3.35,-2.14
321.,4.007,0.083,3.35,-2.14
321.,4.007,0.083,3.35,-2.14
-211.,2.787,-0.035,2.181,-1.728
-211.,2.787,-0.035,2.181,-1.728
-211.,2.787,-0.035,2.181,-1.728
-211.,2.787,-0.035,2.181,-1.728
-211.,2.787,-0.035,2.181,-1.728
-211.,2.787,-0.035,2.181,-1.728
-211.,2.787,-0.035,2.181,-1.728
-211.,2.787,-0.035,2.181,-1.728
211.,4.776,0.763,3.905,-2.639
211.,4.776,0.763,3.905,-2.639
211.,4.776,0.763,3.905,-2.639
211.,4.776,0.763,3.905,-2.639
211.,4.776,0.763,3.905,-2.639
211.,4.776,0.763,3.905,-2.639
211.,4.776,0.763,3.905,-2.639
211.,4.776,0.763,3.905,-2.639
-211.,3.016,0.416,2.69,-1.29
-211.,3.016,0.416,2.69,-1.29
-211.,3.016,0.416,2.69,-1.29
-211.,3.016,0.416,2.69,-1.29
-211.,3.016,0.416,2.69,-1.29
-211.,3.016,0.416,2.69,-1.29
-211.,3.016,0.416,2.69,-1.29
-211.,3.016,0.416,2.69,-1.29
-211.,3.137,0.29,2.47,-1.906
-211.,3.137,0.29,2.47,-1.906
-211.,3.137,0.29,2.47,-1.906
-211.,3.137,0.29,2.47,-1.906
-211.,3.137,0.29,2.47,-1.906
-211.,3.137,0.29,2.47,-1.906
-211.,3.137,0.29,2.47,-1.906
-211.,3.137,0.29,2.47,-1.906
211.,0.462,-0.139,0.389,-0.153
211.,0.462,-0.139,0.389,-0.153
211.,0.462,-0.139,0.389,-0.153
211.,0.462,-0.139,0.389,-0.153
211.,0.462,-0.139,0.389,-0.153
211.,0.462,-0.139,0.389,-0.153
211.,0.462,-0.139,0.389,-0.153
211.,0.462,-0.139,0.389,-0.153
-211.,1.307,0.369,1.15,-0.478
-211.,1.307,0.369,1.15,-0.478
-211.,1.307,0.369,1.15,-0.478
-211.,1.307,0.369,1.15,-0.478
-211.,1.307,0.369,1.15,-0.478
-211.,1.307,0.369,1.15,-0.478
-211.,1.307,0.369,1.15,-0.478
-211.,1.307,0.369,1.15,-0.478
211.,0.493,0.293,-0.352,-0.116
211.,0.493,0.293,-0.352,-0.116
211.,0.493,0.293,-0.352,-0.116
211.,0.493,0.293,-0.352,-0.116
211.,0.493,0.293,-0.352,-0.116
211.,0.493,0.293,-0.352,-0.116
211.,0.493,0.293,-0.352,-0.116
211.,0.493,0.293,-0.352,-0.116
-211.,0.593,0.504,-0.28,0.026
-211.,0.593,0.504,-0.28,0.026
-211.,0.593,0.504,-0.28,0.026
-211.,0.593,0.504,-0.28,0.026
-211.,0.593,0.504,-0.28,0.026
-211.,0.593,0.504,-0.28,0.026
-211.,0.593,0.504,-0.28,0.026
-211.,0.593,0.504,-0.28,0.026
-211.,1.187,0.463,-0.927,0.562
-211.,1.187,0.463,-0.927,0.562
-211.,1.187,0.463,-0.927,0.562
-211.,1.187,0.463,-0.927,0.562
-211.,1.187,0.463,-0.927,0.562
-211.,1.187,0.463,-0.927,0.562
-211.,1.187,0.463,-0.927,0.562
-211.,1.187,0.463,-0.927,0.562
321.,16.452,0.719,-15.642,5.024
321.,16.452,0.719,-15.642,5.024
321.,16.452,0.719,-15.642,5.024
321.,16.452,0.719,-15.642,5.024
321.,16.452,0.719,-15.642,5.024
321.,16.452,0.719,-15.642,5.024
321.,16.452,0.719,-15.642,5.024
321.,16.452,0.719,-15.642,5.024
-211.,1.202,0.199,-1.1,0.418
-211.,1.202,0.199,-1.1,0.418
-211.,1.202,0.199,-1.1,0.418
-211.,1.202,0.199,-1.1,0.418
-211.,1.202,0.199,-1.1,0.418
-211.,1.202,0.199,-1.1,0.418
-211.,1.202,0.199,-1.1,0.418
-211.,1.202,0.199,-1.1,0.418
211.,13.726,-1.109,1.211,-13.626
211.,13.726,-1.109,1.211,-13.626
211.,13.726,-1.109,1.211,-13.626
211.,13.726,-1.109,1.211,-13.626
211.,13.726,-1.109,1.211,-13.626
211.,13.726,-1.109,1.211,-13.626
211.,13.726,-1.109,1.211,-13.626
211.,13.726,-1.109,1.211,-13.626
-211.,35.03,-3.204,3.582,-34.698
-211.,35.03,-3.204,3.582,-34.698
-211.,35.03,-3.204,3.582,-34.698
-211.,35.03,-3.204,3.582,-34.698
-211.,35.03,-3.204,3.582,-34.698
-211.,35.03,-3.204,3.582,-34.698
-211.,35.03,-3.204,3.582,-34.698
-211.,35.03,-3.204,3.582,-34.698
211.,0.329,0.039,-0.283,0.085
211.,0.329,0.039,-0.283,0.085
211.,0.329,0.039,-0.283,0.085
211.,0.329,0.039,-0.283,0.085
211.,0.329,0.039,-0.283,0.085
211.,0.329,0.039,-0.283,0.085
211.,0.329,0.039,-0.283,0.085
211.,0.329,0.039,-0.283,0.085
13.,5.13,3.897,0.448,-3.303
13.,5.13,3.897,0.448,-3.303
13.,5.13,3.897,0.448,-3.303
13.,5.13,3.897,0.448,-3.303
13.,5.13,3.897,0.448,-3.303
13.,5.13,3.897,0.448,-3.303
13.,5.13,3.897,0.448,-3.303
13.,5.13,3.897,0.448,-3.303
-211.,37.721,0.203,-0.115,37.72
-211.,37.721,0.203,-0.115,37.72
-211.,37.721,0.203,-0.115,37.72
-211.,37.721,0.203,-0.115,37.72
-211.,37.721,0.203,-0.115,37.72
-211.,37.721,0.203,-0.115,37.72
-211.,37.721,0.203,-0.115,37.72
-211.,37.721,0.203,-0.115,37.72
-211.,1.547,0.172,-0.558,1.426
-211.,1.547,0.172,-0.558,1.426
-211.,1.547,0.172,-0.558,1.426
-211.,1.547,0.172,-0.558,1.426
-211.,1.547,0.172,-0.558,1.426
-211.,1.547,0.172,-0.558,1.426
-211.,1.547,0.172,-0.558,1.426
-211.,1.547,0.172,-0.558,1.426
