hit_id,r,phi,z,layer_id,particle_id
605,12.25,-0.9159183673469387,-23.44,4,1825
606,29.9,-0.9448361204013377,-57.2,5,1825
607,37.1,-0.9566738544474392,-70.96000000000001,6,1825
608,44.3,-0.9684243792325056,-84.76,7,1825
609,51.4,-0.980112840466926,-98.4,8,1825
610,3.1,-0.8661290322580645,-8.6,1,1826
611,5.05,-0.8653465346534653,-14.,2,1826
612,8.85,-0.8615819209039548,-24.560000000000002,3,1826
613,12.25,-0.8587755102040816,-34.,4,1826
614,29.9,-0.8431772575250835,-83.,5,1826
615,37.1,-0.8368032345013476,-103.,6,1826
616,44.3,-0.8305056433408577,-123.,7,1826
617,51.4,-0.8242684824902723,-142.72,8,1826
618,3.1,-1.043548387096774,-7.12,1,1830
619,5.05,-1.0316831683168317,-11.6,2,1830
620,8.85,-1.0073446327683617,-20.36,3,1830
621,12.25,-0.9857142857142857,-28.2,4,1830
622,29.9,-0.8712642140468226,-69.16,5,1830
623,37.1,-0.824064690026954,-86.08,6,1830
624,44.3,-0.7762437923250564,-103.24000000000001,7,1830
625,51.4,-0.7284863813229572,-120.36,8,1830
626,3.1,-0.8096774193548387,-6.96,1,1832
627,5.05,-0.807920792079208,-11.32,2,1832
628,8.85,-0.8067796610169492,-19.88,3,1832
629,12.25,-0.8053061224489795,-27.52,4,1832
630,29.9,-0.7976923076923076,-67.16,5,1832
631,37.1,-0.7946469002695417,-83.32000000000001,6,1832
632,44.3,-0.7915936794582392,-99.48,7,1832
633,51.4,-0.7886147859922179,-115.44,8,1832
634,3.1,-0.03064516129032258,-9.28,1,1834
635,5.05,-0.027722772277227723,-15.120000000000001,2,1834
636,8.85,-0.01977401129943503,-26.48,3,1834
637,12.25,-0.013061224489795917,-36.68,4,1834
638,29.9,0.02251505016722408,-89.52,5,1834
639,37.1,0.03693261455525606,-111.12,6,1834
640,44.3,0.051345372460496606,-132.76,7,1834
641,51.4,0.06561867704280155,-154.08,8,1834
642,3.1,0.03870967741935484,-7.6000000000000005,1,1844
643,5.05,0.031683168316831684,-12.4,2,1844
644,8.85,0.0192090395480226,-21.72,3,1844
645,12.25,0.008163265306122448,-30.080000000000002,4,1844
646,29.9,-0.05094314381270903,-73.52,5,1844
647,37.1,-0.07496495956873314,-91.32000000000001,6,1844
648,44.3,-0.09923702031602707,-109.16,7,1844
649,51.4,-0.12310116731517509,-126.8,8,1844
650,3.1,0.06451612903225806,-7.48,1,1845
651,5.05,0.0712871287128713,-12.16,2,1845
652,8.85,0.08305084745762713,-21.32,3,1845
653,12.25,0.09346938775510204,-29.48,4,1845
654,29.9,0.1494180602006689,-72.08,5,1845
655,37.1,0.17238274932614553,-89.52,6,1845
656,44.3,0.19517381489841984,-107.,7,1845
657,51.4,0.21802334630350192,-124.28,8,1845
658,3.1,0.12741935483870967,-6.04,1,1852
659,5.05,0.12574257425742574,-9.88,2,1852
660,8.85,0.12372881355932204,-17.28,3,1852
661,12.25,0.12163265306122448,-23.92,4,1852
662,29.9,0.1108695652173913,-58.44,5,1852
663,37.1,0.10658221024258759,-72.48,6,1852
664,44.3,0.10230699774266365,-86.56,7,1852
665,51.4,0.09803112840466925,-100.44,8,1852
666,3.1,0.1870967741935484,-7.24,1,1853
667,5.05,0.1891089108910891,-11.8,2,1853
668,8.85,0.192090395480226,-20.68,3,1853
669,12.25,0.19469387755102038,-28.64,4,1853
670,29.9,0.20911705685618728,-69.92,5,1853
671,37.1,0.21499730458221022,-86.8,6,1853
672,44.3,0.2208848758465011,-103.64,7,1853
673,51.4,0.2266887159533074,-120.24000000000001,8,1853
674,3.1,-0.035483870967741936,-7.5600000000000005,1,1859
