"HitID","r[cm]","phi","z[cm]","layer_id","particle_id"
506,37.1,0.8967385444743934,33.84,6,1575
507,44.3,0.8549887133182843,40.56,7,1575
508,51.4,0.8134863813229571,47.24,8,1575
509,3.1,-2.2129032258064516,-3.96,1,1591
510,5.05,-2.220792079207921,-6.48,2,1591
511,8.85,-2.2361581920903957,-11.36,3,1591
512,12.25,-2.2502040816326527,-15.72,4,1591
513,29.9,-2.322688963210702,-38.44,5,1591
514,37.1,-2.352506738544474,-47.76,6,1591
515,44.3,-2.382455981941309,-57.120000000000005,7,1591
516,51.4,-2.412214007782101,-66.4,8,1591
517,3.1,-1.6096774193548387,-1.76,1,1592
518,5.05,-1.604950495049505,-2.88,2,1592
519,8.85,-1.5949152542372882,-5.08,3,1592
520,12.25,-1.5865306122448979,-7.,4,1592
521,29.9,-1.543076923076923,-17.12,5,1592
522,37.1,-1.5252345013477087,-21.240000000000002,6,1592
523,44.3,-1.5073589164785552,-25.400000000000002,7,1592
524,51.4,-1.489715953307393,-29.48,8,1592
525,3.1,2.8661290322580646,-2.56,1,1596
526,5.05,2.8594059405940593,-4.2,2,1596
527,8.85,2.844632768361582,-7.32,3,1596
528,12.25,2.8318367346938773,-10.16,4,1596
529,29.9,2.76457525083612,-24.84,5,1596
530,37.1,2.736954177897574,-30.84,6,1596
531,44.3,2.7092550790067715,-36.88,7,1596
532,51.4,2.6817665369649806,-42.88,8,1596
533,3.1,2.7887096774193547,-1.68,1,1598
534,5.05,2.7831683168316834,-2.7600000000000002,2,1598
535,8.85,2.7711864406779663,-4.84,3,1598
536,12.25,2.7604081632653057,-6.68,4,1598
537,29.9,2.7051036789297656,-16.36,5,1598
538,37.1,2.682425876010781,-20.32,6,1598
539,44.3,2.659598194130925,-24.28,7,1598
540,51.4,2.6370505836575875,-28.2,8,1598
541,3.1,2.3870967741935485,-3.12,1,1599
542,5.05,2.395049504950495,-5.08,2,1599
543,8.85,2.4096045197740112,-8.92,3,1599
544,12.25,2.4228571428571426,-12.36,4,1599
545,29.9,2.4904147157190635,-30.240000000000002,5,1599
546,37.1,2.5181994609164415,-37.56,6,1599
547,44.3,2.546009029345372,-44.92,7,1599
548,51.4,2.5735486381322956,-52.2,8,1599
549,3.1,2.3870967741935485,0.12,1,1601
550,5.05,2.374257425742574,0.2,2,1601
551,8.85,2.3468926553672316,0.36,3,1601
552,12.25,2.3228571428571425,0.48,4,1601
553,29.9,2.1969230769230768,1.2,5,1601
554,37.1,2.144566037735849,1.52,6,1601
555,44.3,2.091575620767494,1.8,7,1601
556,51.4,2.0383463035019456,2.12,8,1601
557,3.1,2.117741935483871,-2.88,1,1602
558,5.05,2.121782178217822,-4.72,2,1602
559,8.85,2.128813559322034,-8.28,3,1602
560,12.25,2.1355102040816325,-11.44,4,1602
561,29.9,2.1703143812709027,-27.96,5,1602
562,37.1,2.1846145552560645,-34.72,6,1602
563,44.3,2.198794582392776,-41.480000000000004,7,1602
564,51.4,2.2129105058365757,-48.160000000000004,8,1602
565,3.1,2.829032258064516,3.2800000000000002,1,1608
566,5.05,2.8465346534653464,5.36,2,1608
567,8.85,2.8796610169491528,9.4,3,1608
568,12.25,2.9097959183673465,13.,4,1608
569,29.9,3.066936454849498,32.08,5,1608
570,37.1,3.132948787061994,40.04,6,1608
571,44.3,-3.08310158013544,48.2,7,1608
572,51.4,-3.014291828793774,56.52,8,1608
573,3.1,2.6838709677419357,1.52,1,1610
574,5.05,2.6613861386138615,2.44,2,1610
575,8.85,2.6203389830508477,4.28,3,1610
576,12.25,2.5828571428571427,5.96,4,1610
577,29.9,2.3844347826086953,14.76,5,1610
578,37.1,2.299628032345013,18.52,6,1610
579,44.3,2.2121489841986453,22.400000000000002,7,1610
580,51.4,2.1208326848249026,26.44,8,1610
581,3.1,0.6435483870967742,1.,1,1614
582,5.05,0.6415841584158416,1.6400000000000001,2,1614
583,8.85,0.6384180790960452,2.84,3,1614
584,12.25,0.6351020408163265,3.92,4,1614
585,29.9,0.6188227424749163,9.6,5,1614
586,37.1,0.6120916442048516,11.92,6,1614
587,44.3,0.6053995485327313,14.24,7,1614
588,51.4,0.5988365758754863,16.52,8,1614
589,3.1,0.6370967741935484,0.52,1,1615
590,5.05,0.6386138613861386,0.88,2,1615
591,8.85,0.6418079096045198,1.56,3,1615
592,12.25,0.6440816326530612,2.12,4,1615
593,29.9,0.6562341137123745,5.2,5,1615
594,37.1,0.6613045822102425,6.44,6,1615
595,44.3,0.6662618510158013,7.72,7,1615
596,51.4,0.6712023346303502,8.96,8,1615
597,3.1,1.9935483870967743,4.88,1,1616
598,5.05,2.003960396039604,7.96,2,1616
599,8.85,2.0237288135593223,13.96,3,1616
600,12.25,2.041632653061224,19.32,4,1616
601,29.9,2.1351772575250836,47.32,5,1616
602,37.1,2.1735256064690023,58.84,6,1616
603,44.3,2.212455981941309,70.44,7,1616
604,51.4,2.251077821011673,82.,8,1616
605,3.1,1.5080645161290323,2.2,1,1619
606,5.05,1.505940594059406,3.56,2,1619
607,8.85,1.503954802259887,6.24,3,1619
608,12.25,1.5020408163265304,8.64,4,1619
609,29.9,1.4914515050167223,21.12,5,1619
610,37.1,1.4872938005390834,26.2,6,1619
611,44.3,1.4830293453724603,31.28,7,1619
612,51.4,1.4788677042801555,36.28,8,1619
613,3.1,-1.2,-4.76,1,1688
614,5.05,-1.2188118811881188,-7.72,2,1688
615,8.85,-1.2548022598870057,-13.56,3,1688
616,12.25,-1.28734693877551,-18.76,4,1688
617,29.9,-1.4585886287625418,-46.36,5,1688
618,37.1,-1.530641509433962,-57.96,6,1688
619,44.3,-1.6047539503386004,-69.92,7,1688
620,51.4,-1.680420233463035,-82.12,8,1688
621,3.1,1.1451612903225807,10.44,1,1701
622,5.05,1.1326732673267328,17.04,2,1701
623,8.85,1.1096045197740114,29.84,3,1701
624,12.25,1.0889795918367347,41.36,4,1701
625,29.9,0.9804280936454849,101.4,5,1701
626,37.1,0.9357789757412398,126.2,6,1701
627,44.3,0.8904469525959366,151.24,7,1701
628,51.4,0.8451712062256809,176.28,8,1701
629,3.1,-2.414516129032258,9.44,1,1702
630,5.05,-2.407920792079208,15.4,2,1702
631,8.85,-2.393220338983051,27.,3,1702
632,12.25,-2.380408163265306,37.36,4,1702
633,29.9,-2.313478260869565,91.36,5,1702
634,37.1,-2.285973045822102,113.52,6,1702
635,44.3,-2.2584288939051915,135.72,7,1702
636,51.4,-2.2311673151750973,157.76,8,1702
637,3.1,2.7983870967741935,17.84,1,1706
638,5.05,2.7861386138613864,29.080000000000002,2,1706
639,8.85,2.761581920903955,50.96,3,1706
640,12.25,2.7399999999999998,70.60000000000001,4,1706
641,29.9,2.6265284280936454,173.16,5,1706
642,37.1,2.5796927223719672,215.6,6,1706
643,44.3,2.5322708803611738,258.48,7,1706
644,51.4,2.484910505836576,301.40000000000003,8,1706
645,3.1,1.0403225806451613,8.68,1,1711
646,5.05,1.0297029702970297,14.16,2,1711
647,8.85,1.0073446327683617,24.84,3,1711
648,12.25,0.9873469387755102,34.4,4,1711
649,29.9,0.8841137123745819,84.28,5,1711
650,37.1,0.8417520215633422,104.88,6,1711
651,44.3,0.7984243792325055,125.68,7,1711
652,51.4,0.7557392996108949,146.4,8,1711
653,3.1,2.0693548387096774,10.84,1,1712
654,5.05,2.087128712871287,17.68,2,1712
655,8.85,2.1203389830508477,31.04,3,1712
656,12.25,2.1502040816326526,43.,4,1712
657,29.9,2.308133779264214,105.96000000000001,5,1712
658,37.1,2.374318059299191,132.36,6,1712
659,44.3,2.4420902934537243,159.36,7,1712
660,51.4,2.5108404669260698,186.76,8,1712
661,3.1,-1.0612903225806452,-0.64,1,1877
662,5.05,-1.0702970297029704,-1.04,2,1877
663,8.85,-1.0898305084745763,-1.8,3,1877
664,12.25,-1.1073469387755102,-2.52,4,1877
665,29.9,-1.1978461538461538,-6.12,5,1877
666,37.1,-1.23499730458221,-7.640000000000001,6,1877
667,44.3,-1.2726591422121896,-9.120000000000001,7,1877
668,51.4,-1.3099922178988326,-10.64,8,1877
669,3.1,-1.8548387096774193,-0.72,1,1878
670,5.05,-1.8514851485148516,-1.2,2,1878
671,8.85,-1.8451977401129944,-2.08,3,1878
672,12.25,-1.8391836734693876,-2.88,4,1878
673,29.9,-1.8089364548494982,-7.08,5,1878
674,37.1,-1.7965929919137464,-8.76,6,1878
675,44.3,-1.7842708803611735,-10.48,7,1878
676,51.4,-1.7720350194552528,-12.16,8,1878
677,3.1,-1.3951612903225807,2.4,1,1879
678,5.05,-1.4099009900990098,3.92,2,1879
679,8.85,-1.4395480225988702,6.84,3,1879
680,12.25,-1.4661224489795917,9.52,4,1879
681,29.9,-1.6039130434782607,23.36,5,1879
682,37.1,-1.6615094339622638,29.12,6,1879
683,44.3,-1.7197246049661397,35.,7,1879
684,51.4,-1.7789805447470817,40.92,8,1879
685,3.1,-2.279032258064516,0.08,1,1880
686,5.05,-2.2762376237623765,0.16,2,1880
687,8.85,-2.269491525423729,0.28,3,1880
688,12.25,-2.2636734693877547,0.4,4,1880
689,29.9,-2.2329698996655516,0.96,5,1880
690,37.1,-2.220630727762803,1.16,6,1880
691,44.3,-2.208081264108352,1.4000000000000001,7,1880
692,51.4,-2.1957782101167314,1.6400000000000001,8,1880
693,3.1,-2.074193548387097,4.8,1,1882
694,5.05,-2.0663366336633664,7.84,2,1882
695,8.85,-2.049717514124294,13.72,3,1882
696,12.25,-2.0342857142857143,18.96,4,1882
697,29.9,-1.9558528428093644,46.44,5,1882
698,37.1,-1.9237035040431265,57.72,6,1882
699,44.3,-1.8911828442437921,69.04,7,1882
700,51.4,-1.8590194552529182,80.32000000000001,8,1882
